,units_min,units_max,course_number,course_name,course_subject,instructor,quarters
0,1,1,7,Personal Finance for Engineers,CS,"Nash, A.",['Autumn']
1,2,2,11SI,How to Make VR: Introduction to Virtual Reality Design and Development,CS,"Borenstein, J.",['Winter']
2,1,1,12SI,Introduction to Mobile Augmented Reality Design and Development,CS,"Borenstein, J.",['Spring']
3,2,2,21SI,AI for Social Good,CS,,"['Spring', 'Winter']"
4,1,1,22A,The Social & Economic Impact of Artificial Intelligence (INTLPOL 200),CS,"Kaplan, J.",['Winter']
5,4,4,24,"Minds and Machines (LINGUIST 35, PHIL 99, PSYCH 35, SYMSYS 1, SYMSYS 200)",CS,"Srirangarajan, T.","['Autumn', 'Winter']"
6,1,1,26SI,Beyond NLP: CS & Language through Text Input & Design,CS,"Cain, J.",['Autumn']
7,3,3,31N,Counterfactuals: The Science of What Ifs?,CS,"Brunskill, E.",['Spring']
8,2,2,41,Hap.py Code: The Python Programming Language,CS,"Cain, J.",['Spring']
9,3,3,44N,Great Ideas in Graphics,CS,"James, D.",['Autumn']
10,3,3,46N,Working with Data: Delights and Doubts,CS,"Widom, J.","['Spring', 'Autumn']"
11,2,2,47,Cross-Platform Mobile Development,CS,"Landay, J.",['Autumn']
12,1,1,64,Computation for Puzzles and Games,CS,"Tullis, I.",['Autumn']
13,3,3,80Q,Race and Gender in Silicon Valley (AFRICAAM 80Q),CS,"Lee, C.",['Autumn']
14,3,3,83N,Playback Theater,CS,"Reingold, O.",['Winter']
15,1,1,100A,Problem-solving Lab for CS106A,CS,"Parlante, N.","['Spring', 'Autumn', 'Winter']"
16,1,1,100B,Problem-solving Lab for CS106B,CS,"Zelenski, J.","['Spring', 'Autumn', 'Winter']"
17,3,5,103,Mathematical Foundations of Computing,CS,"Liu, A.","['Spring', 'Summer', 'Autumn', 'Winter']"
18,1,1,103A,Mathematical Problem-solving Strategies,CS,"Sriram, P.","['Autumn', 'Winter']"
19,3,5,105,Introduction to Computers,CS,"Young, P.","['Spring', 'Autumn']"
20,3,5,106A,Programming Methodology,CS,"Sahami, M.","['Summer', 'Spring', 'Autumn', 'Winter']"
21,3,5,106AX,Programming Methodologies in JavaScript and Python (Accelerated),CS,"Cain, J.",['Autumn']
22,3,5,106B,Programming Abstractions,CS,"Jue, K.","['Spring', 'Autumn', 'Winter', 'Summer']"
23,3,3,106E,Exploration of Computing,CS,"Young, P.",['Spring']
24,1,1,106L,Standard C++ Programming Laboratory,CS,"Schwarz, K.",['Autumn']
25,1,1,106M,Enrichment Adventures in Programming Abstractions,CS,"Zelenski, J.",['Autumn']
26,1,1,106S,Coding for Social Good,CS,"Cain, J.","['Spring', 'Autumn', 'Winter']"
